"Notes","State","State Code","Year","Year Code","Age Group","Age Group Code","Cause of death","Cause of death Code",Deaths,Population,Crude Rate
,"Vermont","50","1999","1999","85+ years","85+","Bronchus or lung, unspecified - Malignant neoplasms","C34.9",30,9854,304.4
,"Vermont","50","1999","1999","85+ years","85+","Breast, unspecified - Malignant neoplasms","C50.9",14,9854,142.1 (Unreliable)
,"Vermont","50","1999","1999","85+ years","85+","Malignant neoplasm of prostate","C61",24,9854,243.6
,"Vermont","50","1999","1999","85+ years","85+","Unspecified diabetes mellitus, without complications","E14.9",13,9854,131.9 (Unreliable)
,"Vermont","50","1999","1999","85+ years","85+","Unspecified dementia","F03",62,9854,629.2
,"Vermont","50","1999","1999","85+ years","85+","Parkinson disease","G20",16,9854,162.4 (Unreliable)
,"Vermont","50","1999","1999","85+ years","85+","Alzheimer disease, unspecified","G30.9",80,9854,811.9
,"Vermont","50","1999","1999","85+ years","85+","Hypertensive heart disease with (congestive) heart failure","I11.0",10,9854,101.5 (Unreliable)
,"Vermont","50","1999","1999","85+ years","85+","Acute myocardial infarction, unspecified","I21.9",95,9854,964.1
,"Vermont","50","1999","1999","85+ years","85+","Atherosclerotic cardiovascular disease, so described","I25.0",108,9854,1096.0
,"Vermont","50","1999","1999","85+ years","85+","Atherosclerotic heart disease","I25.1",131,9854,1329.4
,"Vermont","50","1999","1999","85+ years","85+","Ischaemic cardiomyopathy","I25.5",10,9854,101.5 (Unreliable)
,"Vermont","50","1999","1999","85+ years","85+","Aortic (valve) stenosis","I35.0",16,9854,162.4 (Unreliable)
,"Vermont","50","1999","1999","85+ years","85+","Sudden cardiac death, so described","I46.1",11,9854,111.6 (Unreliable)
,"Vermont","50","1999","1999","85+ years","85+","Cardiac arrest, unspecified","I46.9",13,9854,131.9 (Unreliable)
,"Vermont","50","1999","1999","85+ years","85+","Atrial fibrillation and flutter","I48",12,9854,121.8 (Unreliable)
,"Vermont","50","1999","1999","85+ years","85+","Congestive heart failure","I50.0",46,9854,466.8
,"Vermont","50","1999","1999","85+ years","85+","Intracerebral haemorrhage, unspecified","I61.9",10,9854,101.5 (Unreliable)
,"Vermont","50","1999","1999","85+ years","85+","Cerebral infarction due to thrombosis of cerebral arteries","I63.3",11,9854,111.6 (Unreliable)
,"Vermont","50","1999","1999","85+ years","85+","Cerebral infarction, unspecified","I63.9",10,9854,101.5 (Unreliable)
,"Vermont","50","1999","1999","85+ years","85+","Stroke, not specified as haemorrhage or infarction","I64",91,9854,923.5
,"Vermont","50","1999","1999","85+ years","85+","Sequelae of stroke, not specified as haemorrhage or infarction","I69.4",15,9854,152.2 (Unreliable)
,"Vermont","50","1999","1999","85+ years","85+","Sequelae of other and unspecified cerebrovascular diseases","I69.8",21,9854,213.1
,"Vermont","50","1999","1999","85+ years","85+","Pneumonia, unspecified","J18.9",56,9854,568.3
,"Vermont","50","1999","1999","85+ years","85+","Chronic obstructive pulmonary disease, unspecified","J44.9",57,9854,578.4
,"Vermont","50","1999","1999","85+ years","85+","Pneumonitis due to food and vomit","J69.0",15,9854,152.2 (Unreliable)
,"Vermont","50","1999","1999","85+ years","85+","Urinary tract infection, site not specified","N39.0",11,9854,111.6 (Unreliable)
,"Vermont","50","1999","1999","85+ years","85+","Unspecified fall","W19",12,9854,121.8 (Unreliable)
,"Vermont","50","1999","1999","85+ years","85+","Exposure to unspecified factor","X59",17,9854,172.5 (Unreliable)
,"Vermont","50","2000","2000","35-44 years","35-44","Acute myocardial infarction, unspecified","I21.9",11,101823,10.8 (Unreliable)
,"Vermont","50","2000","2000","45-54 years","45-54","Bronchus or lung, unspecified - Malignant neoplasms","C34.9",29,93744,30.9
,"Vermont","50","2000","2000","45-54 years","45-54","Breast, unspecified - Malignant neoplasms","C50.9",14,93744,14.9 (Unreliable)
,"Vermont","50","2000","2000","45-54 years","45-54","Acute myocardial infarction, unspecified","I21.9",22,93744,23.5
,"Vermont","50","2000","2000","45-54 years","45-54","Atherosclerotic heart disease","I25.1",20,93744,21.3
,"Vermont","50","2000","2000","55-64 years","55-64","Colon, unspecified - Malignant neoplasms","C18.9",13,56884,22.9 (Unreliable)
,"Vermont","50","2000","2000","55-64 years","55-64","Pancreas, unspecified - Malignant neoplasms","C25.9",12,56884,21.1 (Unreliable)
,"Vermont","50","2000","2000","55-64 years","55-64","Bronchus or lung, unspecified - Malignant neoplasms","C34.9",61,56884,107.2
,"Vermont","50","2000","2000","55-64 years","55-64","Breast, unspecified - Malignant neoplasms","C50.9",14,56884,24.6 (Unreliable)
,"Vermont","50","2000","2000","55-64 years","55-64","Malignant neoplasm without specification of site","C80",11,56884,19.3 (Unreliable)
,"Vermont","50","2000","2000","55-64 years","55-64","Unspecified diabetes mellitus, without complications","E14.9",11,56884,19.3 (Unreliable)
,"Vermont","50","2000","2000","55-64 years","55-64","Acute myocardial infarction, unspecified","I21.9",32,56884,56.3
,"Vermont","50","2000","2000","55-64 years","55-64","Atherosclerotic cardiovascular disease, so described","I25.0",15,56884,26.4 (Unreliable)
,"Vermont","50","2000","2000","55-64 years","55-64","Atherosclerotic heart disease","I25.1",31,56884,54.5
,"Vermont","50","2000","2000","55-64 years","55-64","Chronic obstructive pulmonary disease, unspecified","J44.9",18,56884,31.6 (Unreliable)
,"Vermont","50","2000","2000","65-74 years","65-74","Colon, unspecified - Malignant neoplasms","C18.9",19,40662,46.7 (Unreliable)
,"Vermont","50","2000","2000","65-74 years","65-74","Pancreas, unspecified - Malignant neoplasms","C25.9",23,40662,56.6
,"Vermont","50","2000","2000","65-74 years","65-74","Bronchus or lung, unspecified - Malignant neoplasms","C34.9",120,40662,295.1
,"Vermont","50","2000","2000","65-74 years","65-74","Breast, unspecified - Malignant neoplasms","C50.9",16,40662,39.3 (Unreliable)
,"Vermont","50","2000","2000","65-74 years","65-74","Malignant neoplasm without specification of site","C80",17,40662,41.8 (Unreliable)
,"Vermont","50","2000","2000","65-74 years","65-74","Non-Hodgkin lymphoma, unspecified type","C85.9",20,40662,49.2
,"Vermont","50","2000","2000","65-74 years","65-74","Unspecified diabetes mellitus, without complications","E14.9",21,40662,51.6
,"Vermont","50","2000","2000","65-74 years","65-74","Acute myocardial infarction, unspecified","I21.9",95,40662,233.6
,"Vermont","50","2000","2000","65-74 years","65-74","Atherosclerotic cardiovascular disease, so described","I25.0",23,40662,56.6
,"Vermont","50","2000","2000","65-74 years","65-74","Atherosclerotic heart disease","I25.1",66,40662,162.3
,"Vermont","50","2000","2000","65-74 years","65-74","Stroke, not specified as haemorrhage or infarction","I64",14,40662,34.4 (Unreliable)
,"Vermont","50","2000","2000","65-74 years","65-74","Chronic obstructive pulmonary disease, unspecified","J44.9",65,40662,159.9
,"Vermont","50","2000","2000","75-84 years","75-84","Septicaemia, unspecified","A41.9",10,26822,37.3 (Unreliable)
,"Vermont","50","2000","2000","75-84 years","75-84","Colon, unspecified - Malignant neoplasms","C18.9",35,26822,130.5
,"Vermont","50","2000","2000","75-84 years","75-84","Pancreas, unspecified - Malignant neoplasms","C25.9",24,26822,89.5
,"Vermont","50","2000","2000","75-84 years","75-84","Bronchus or lung, unspecified - Malignant neoplasms","C34.9",91,26822,339.3
,"Vermont","50","2000","2000","75-84 years","75-84","Breast, unspecified - Malignant neoplasms","C50.9",34,26822,126.8
,"Vermont","50","2000","2000","75-84 years","75-84","Malignant neoplasm of prostate","C61",23,26822,85.8
,"Vermont","50","2000","2000","75-84 years","75-84","Malignant neoplasm of kidney, except renal pelvis","C64",18,26822,67.1 (Unreliable)
,"Vermont","50","2000","2000","75-84 years","75-84","Bladder, unspecified - Malignant neoplasms","C67.9",10,26822,37.3 (Unreliable)
,"Vermont","50","2000","2000","75-84 years","75-84","Malignant neoplasm without specification of site","C80",28,26822,104.4
,"Vermont","50","2000","2000","75-84 years","75-84","Non-Hodgkin lymphoma, unspecified type","C85.9",19,26822,70.8 (Unreliable)
,"Vermont","50","2000","2000","75-84 years","75-84","Unspecified diabetes mellitus, without complications","E14.9",32,26822,119.3
,"Vermont","50","2000","2000","75-84 years","75-84","Unspecified dementia","F03",25,26822,93.2
,"Vermont","50","2000","2000","75-84 years","75-84","Parkinson disease","G20",14,26822,52.2 (Unreliable)
,"Vermont","50","2000","2000","75-84 years","75-84","Alzheimer disease, unspecified","G30.9",40,26822,149.1
,"Vermont","50","2000","2000","75-84 years","75-84","Essential (primary) hypertension","I10",10,26822,37.3 (Unreliable)
,"Vermont","50","2000","2000","75-84 years","75-84","Acute myocardial infarction, unspecified","I21.9",127,26822,473.5
,"Vermont","50","2000","2000","75-84 years","75-84","Atherosclerotic cardiovascular disease, so described","I25.0",71,26822,264.7
,"Vermont","50","2000","2000","75-84 years","75-84","Atherosclerotic heart disease","I25.1",132,26822,492.1
,"Vermont","50","2000","2000","75-84 years","75-84","Ischaemic cardiomyopathy","I25.5",11,26822,41.0 (Unreliable)
,"Vermont","50","2000","2000","75-84 years","75-84","Congestive heart failure","I50.0",23,26822,85.8
,"Vermont","50","2000","2000","75-84 years","75-84","Cerebral infarction, unspecified","I63.9",13,26822,48.5 (Unreliable)
,"Vermont","50","2000","2000","75-84 years","75-84","Stroke, not specified as haemorrhage or infarction","I64",65,26822,242.3
,"Vermont","50","2000","2000","75-84 years","75-84","Sequelae of other and unspecified cerebrovascular diseases","I69.8",11,26822,41.0 (Unreliable)
,"Vermont","50","2000","2000","75-84 years","75-84","Pneumonia, unspecified","J18.9",32,26822,119.3
,"Vermont","50","2000","2000","75-84 years","75-84","Emphysema, unspecified","J43.9",10,26822,37.3 (Unreliable)
,"Vermont","50","2000","2000","75-84 years","75-84","Chronic obstructive pulmonary disease, unspecified","J44.9",117,26822,436.2
,"Vermont","50","2000","2000","75-84 years","75-84","Pneumonitis due to food and vomit","J69.0",10,26822,37.3 (Unreliable)
,"Vermont","50","2000","2000","75-84 years","75-84","Gastrointestinal haemorrhage, unspecified","K92.2",10,26822,37.3 (Unreliable)
,"Vermont","50","2000","2000","75-84 years","75-84","Unspecified renal failure","N19",11,26822,41.0 (Unreliable)
,"Vermont","50","2000","2000","85+ years","85+","Septicaemia, unspecified","A41.9",16,9988,160.2 (Unreliable)
,"Vermont","50","2000","2000","85+ years","85+","Colon, unspecified - Malignant neoplasms","C18.9",28,9988,280.3
,"Vermont","50","2000","2000","85+ years","85+","Bronchus or lung, unspecified - Malignant neoplasms","C34.9",20,9988,200.2
,"Vermont","50","2000","2000","85+ years","85+","Breast, unspecified - Malignant neoplasms","C50.9",25,9988,250.3
,"Vermont","50","2000","2000","85+ years","85+","Malignant neoplasm of prostate","C61",18,9988,180.2 (Unreliable)
,"Vermont","50","2000","2000","85+ years","85+","Bladder, unspecified - Malignant neoplasms","C67.9",11,9988,110.1 (Unreliable)
,"Vermont","50","2000","2000","85+ years","85+","Malignant neoplasm without specification of site","C80",14,9988,140.2 (Unreliable)
,"Vermont","50","2000","2000","85+ years","85+","Unspecified diabetes mellitus, without complications","E14.9",19,9988,190.2 (Unreliable)
,"Vermont","50","2000","2000","85+ years","85+","Unspecified dementia","F03",68,9988,680.8
,"Vermont","50","2000","2000","85+ years","85+","Parkinson disease","G20",15,9988,150.2 (Unreliable)
,"Vermont","50","2000","2000","85+ years","85+","Alzheimer disease, unspecified","G30.9",87,9988,871.0
,"Vermont","50","2000","2000","85+ years","85+","Hypertensive heart disease with (congestive) heart failure","I11.0",10,9988,100.1 (Unreliable)
,"Vermont","50","2000","2000","85+ years","85+","Acute myocardial infarction, unspecified","I21.9",94,9988,941.1
,"Vermont","50","2000","2000","85+ years","85+","Atherosclerotic cardiovascular disease, so described","I25.0",105,9988,1051.3
,"Vermont","50","2000","2000","85+ years","85+","Atherosclerotic heart disease","I25.1",146,9988,1461.8
,"Vermont","50","2000","2000","85+ years","85+","Aortic (valve) stenosis","I35.0",34,9988,340.4
,"Vermont","50","2000","2000","85+ years","85+","Atrial fibrillation and flutter","I48",16,9988,160.2 (Unreliable)
,"Vermont","50","2000","2000","85+ years","85+","Congestive heart failure","I50.0",59,9988,590.7
,"Vermont","50","2000","2000","85+ years","85+","Intracerebral haemorrhage, unspecified","I61.9",20,9988,200.2
,"Vermont","50","2000","2000","85+ years","85+","Stroke, not specified as haemorrhage or infarction","I64",80,9988,801.0
,"Vermont","50","2000","2000","85+ years","85+","Sequelae of stroke, not specified as haemorrhage or infarction","I69.4",12,9988,120.1 (Unreliable)
,"Vermont","50","2000","2000","85+ years","85+","Sequelae of other and unspecified cerebrovascular diseases","I69.8",14,9988,140.2 (Unreliable)
,"Vermont","50","2000","2000","85+ years","85+","Pneumonia, unspecified","J18.9",57,9988,570.7
,"Vermont","50","2000","2000","85+ years","85+","Chronic obstructive pulmonary disease, unspecified","J44.9",56,9988,560.7
,"Vermont","50","2000","2000","85+ years","85+","Pneumonitis due to food and vomit","J69.0",18,9988,180.2 (Unreliable)
,"Vermont","50","2000","2000","85+ years","85+","Gastrointestinal haemorrhage, unspecified","K92.2",14,9988,140.2 (Unreliable)
,"Vermont","50","2000","2000","85+ years","85+","Unspecified renal failure","N19",15,9988,150.2 (Unreliable)
,"Vermont","50","2000","2000","85+ years","85+","Urinary tract infection, site not specified","N39.0",14,9988,140.2 (Unreliable)
,"Vermont","50","2000","2000","85+ years","85+","Exposure to unspecified factor","X59",13,9988,130.2 (Unreliable)
,"Vermont","50","2001","2001","45-54 years","45-54","Bronchus or lung, unspecified - Malignant neoplasms","C34.9",31,97573,31.8
,"Vermont","50","2001","2001","45-54 years","45-54","Breast, unspecified - Malignant neoplasms","C50.9",15,97573,15.4 (Unreliable)
,"Vermont","50","2001","2001","45-54 years","45-54","Acute myocardial infarction, unspecified","I21.9",24,97573,24.6
,"Vermont","50","2001","2001","45-54 years","45-54","Atherosclerotic heart disease","I25.1",15,97573,15.4 (Unreliable)
,"Vermont","50","2001","2001","55-64 years","55-64","Colon, unspecified - Malignant neoplasms","C18.9",10,59255,16.9 (Unreliable)
,"Vermont","50","2001","2001","55-64 years","55-64","Bronchus or lung, unspecified - Malignant neoplasms","C34.9",60,59255,101.3
,"Vermont","50","2001","2001","55-64 years","55-64","Breast, unspecified - Malignant neoplasms","C50.9",22,59255,37.1
,"Vermont","50","2001","2001","55-64 years","55-64","Unspecified diabetes mellitus, without complications","E14.9",14,59255,23.6 (Unreliable)
,"Vermont","50","2001","2001","55-64 years","55-64","Acute myocardial infarction, unspecified","I21.9",34,59255,57.4
,"Vermont","50","2001","2001","55-64 years","55-64","Atherosclerotic heart disease","I25.1",23,59255,38.8
,"Vermont","50","2001","2001","55-64 years","55-64","Chronic obstructive pulmonary disease, unspecified","J44.9",19,59255,32.1 (Unreliable)
,"Vermont","50","2001","2001","65-74 years","65-74","Oesophagus, unspecified - Malignant neoplasms","C15.9",10,40540,24.7 (Unreliable)
,"Vermont","50","2001","2001","65-74 years","65-74","Colon, unspecified - Malignant neoplasms","C18.9",31,40540,76.5
,"Vermont","50","2001","2001","65-74 years","65-74","Pancreas, unspecified - Malignant neoplasms","C25.9",11,40540,27.1 (Unreliable)
,"Vermont","50","2001","2001","65-74 years","65-74","Bronchus or lung, unspecified - Malignant neoplasms","C34.9",119,40540,293.5
,"Vermont","50","2001","2001","65-74 years","65-74","Breast, unspecified - Malignant neoplasms","C50.9",16,40540,39.5 (Unreliable)
,"Vermont","50","2001","2001","65-74 years","65-74","Malignant neoplasm without specification of site","C80",11,40540,27.1 (Unreliable)
,"Vermont","50","2001","2001","65-74 years","65-74","Non-Hodgkin lymphoma, unspecified type","C85.9",12,40540,29.6 (Unreliable)
,"Vermont","50","2001","2001","65-74 years","65-74","Non-insulin-dependent diabetes mellitus, without complications","E11.9",10,40540,24.7 (Unreliable)
,"Vermont","50","2001","2001","65-74 years","65-74","Unspecified diabetes mellitus, without complications","E14.9",20,40540,49.3
,"Vermont","50","2001","2001","65-74 years","65-74","Acute myocardial infarction, unspecified","I21.9",64,40540,157.9
,"Vermont","50","2001","2001","65-74 years","65-74","Atherosclerotic cardiovascular disease, so described","I25.0",28,40540,69.1
,"Vermont","50","2001","2001","65-74 years","65-74","Atherosclerotic heart disease","I25.1",73,40540,180.1
,"Vermont","50","2001","2001","65-74 years","65-74","Congestive heart failure","I50.0",10,40540,24.7 (Unreliable)
,"Vermont","50","2001","2001","65-74 years","65-74","Stroke, not specified as haemorrhage or infarction","I64",17,40540,41.9 (Unreliable)
,"Vermont","50","2001","2001","65-74 years","65-74","Pneumonia, unspecified","J18.9",11,40540,27.1 (Unreliable)
,"Vermont","50","2001","2001","65-74 years","65-74","Emphysema, unspecified","J43.9",10,40540,24.7 (Unreliable)
,"Vermont","50","2001","2001","65-74 years","65-74","Chronic obstructive pulmonary disease, unspecified","J44.9",63,40540,155.4
,"Vermont","50","2001","2001","75-84 years","75-84","Septicaemia, unspecified","A41.9",13,27372,47.5 (Unreliable)
,"Vermont","50","2001","2001","75-84 years","75-84","Oesophagus, unspecified - Malignant neoplasms","C15.9",11,27372,40.2 (Unreliable)
,"Vermont","50","2001","2001","75-84 years","75-84","Colon, unspecified - Malignant neoplasms","C18.9",29,27372,105.9
,"Vermont","50","2001","2001","75-84 years","75-84","Bronchus or lung, unspecified - Malignant neoplasms","C34.9",92,27372,336.1
,"Vermont","50","2001","2001","75-84 years","75-84","Breast, unspecified - Malignant neoplasms","C50.9",29,27372,105.9
,"Vermont","50","2001","2001","75-84 years","75-84","Malignant neoplasm of prostate","C61",33,27372,120.6
,"Vermont","50","2001","2001","75-84 years","75-84","Bladder, unspecified - Malignant neoplasms","C67.9",12,27372,43.8 (Unreliable)
,"Vermont","50","2001","2001","75-84 years","75-84","Malignant neoplasm without specification of site","C80",27,27372,98.6
,"Vermont","50","2001","2001","75-84 years","75-84","Non-Hodgkin lymphoma, unspecified type","C85.9",14,27372,51.1 (Unreliable)
,"Vermont","50","2001","2001","75-84 years","75-84","Chronic lymphocytic leukaemia - Malignant neoplasms","C91.1",11,27372,40.2 (Unreliable)
,"Vermont","50","2001","2001","75-84 years","75-84","Non-insulin-dependent diabetes mellitus, without complications","E11.9",12,27372,43.8 (Unreliable)
,"Vermont","50","2001","2001","75-84 years","75-84","Unspecified diabetes mellitus, without complications","E14.9",23,27372,84.0
,"Vermont","50","2001","2001","75-84 years","75-84","Unspecified dementia","F03",32,27372,116.9
,"Vermont","50","2001","2001","75-84 years","75-84","Parkinson disease","G20",38,27372,138.8
,"Vermont","50","2001","2001","75-84 years","75-84","Alzheimer disease, unspecified","G30.9",43,27372,157.1
,"Vermont","50","2001","2001","75-84 years","75-84","Acute myocardial infarction, unspecified","I21.9",123,27372,449.4
,"Vermont","50","2001","2001","75-84 years","75-84","Atherosclerotic cardiovascular disease, so described","I25.0",50,27372,182.7
,"Vermont","50","2001","2001","75-84 years","75-84","Atherosclerotic heart disease","I25.1",139,27372,507.8
,"Vermont","50","2001","2001","75-84 years","75-84","Ischaemic cardiomyopathy","I25.5",12,27372,43.8 (Unreliable)
,"Vermont","50","2001","2001","75-84 years","75-84","Aortic (valve) stenosis","I35.0",10,27372,36.5 (Unreliable)
,"Vermont","50","2001","2001","75-84 years","75-84","Congestive heart failure","I50.0",24,27372,87.7
,"Vermont","50","2001","2001","75-84 years","75-84","Intracerebral haemorrhage, unspecified","I61.9",12,27372,43.8 (Unreliable)
,"Vermont","50","2001","2001","75-84 years","75-84","Stroke, not specified as haemorrhage or infarction","I64",51,27372,186.3
,"Vermont","50","2001","2001","75-84 years","75-84","Sequelae of stroke, not specified as haemorrhage or infarction","I69.4",12,27372,43.8 (Unreliable)
,"Vermont","50","2001","2001","75-84 years","75-84","Pneumonia, unspecified","J18.9",30,27372,109.6
,"Vermont","50","2001","2001","75-84 years","75-84","Chronic obstructive pulmonary disease, unspecified","J44.9",118,27372,431.1
,"Vermont","50","2001","2001","75-84 years","75-84","Pneumonitis due to food and vomit","J69.0",10,27372,36.5 (Unreliable)
,"Vermont","50","2001","2001","75-84 years","75-84","Other interstitial pulmonary diseases with fibrosis","J84.1",12,27372,43.8 (Unreliable)
,"Vermont","50","2001","2001","75-84 years","75-84","Unspecified renal failure","N19",13,27372,47.5 (Unreliable)
,"Vermont","50","2001","2001","85+ years","85+","Septicaemia, unspecified","A41.9",12,10193,117.7 (Unreliable)
,"Vermont","50","2001","2001","85+ years","85+","Colon, unspecified - Malignant neoplasms","C18.9",17,10193,166.8 (Unreliable)
,"Vermont","50","2001","2001","85+ years","85+","Bronchus or lung, unspecified - Malignant neoplasms","C34.9",38,10193,372.8
,"Vermont","50","2001","2001","85+ years","85+","Breast, unspecified - Malignant neoplasms","C50.9",19,10193,186.4 (Unreliable)
,"Vermont","50","2001","2001","85+ years","85+","Malignant neoplasm of prostate","C61",28,10193,274.7
,"Vermont","50","2001","2001","85+ years","85+","Malignant neoplasm without specification of site","C80",15,10193,147.2 (Unreliable)
,"Vermont","50","2001","2001","85+ years","85+","Unspecified diabetes mellitus, without complications","E14.9",11,10193,107.9 (Unreliable)
