Notes,State,State Code,ICD Chapter,ICD Chapter Code,Cause of death,Cause of death Code,Deaths,Population,Crude Rate
,Alabama,01,Neoplasms,C00-D48,"Leukaemia, unspecified - Malignant neoplasms",C95.9,75,4430141,1.7
,Alabama,01,Neoplasms,C00-D48,Malignant neoplasms of independent (primary) multiple sites,C97,98,4430141,2.2
,Alabama,01,Neoplasms,C00-D48,"Meninges, unspecified - Benign neoplasms",D32.9,10,4430141,0.2 (Unreliable)
,Alabama,01,Neoplasms,C00-D48,"Trachea, bronchus and lung - Uncertain neoplasms",D38.1,10,4430141,0.2 (Unreliable)
,Alabama,01,Neoplasms,C00-D48,"Brain, unspecified - Uncertain neoplasms",D43.2,78,4430141,1.8
,Alabama,01,Neoplasms,C00-D48,"Myelodysplastic syndrome, unspecified - Uncertain neoplasms",D46.9,63,4430141,1.4
,Alabama,01,Neoplasms,C00-D48,Chronic myeloproliferative disease - Uncertain neoplasms,D47.1,24,4430141,0.5
,Alabama,01,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D50-D89,Sickle-cell anaemia without crisis,D57.1,19,4430141,0.4 (Unreliable)
,Alabama,01,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D50-D89,"Aplastic anaemia, unspecified",D61.9,21,4430141,0.5
,Alabama,01,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D50-D89,"Anaemia, unspecified",D64.9,51,4430141,1.2
,Alabama,01,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D50-D89,Disseminated intravascular coagulation [defibrination syndrome],D65,22,4430141,0.5
,Alabama,01,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D50-D89,"Coagulation defect, unspecified",D68.9,15,4430141,0.3 (Unreliable)
,Alabama,01,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D50-D89,"Thrombocytopenia, unspecified",D69.6,11,4430141,0.2 (Unreliable)
,Alabama,01,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D50-D89,"Sarcoidosis, unspecified",D86.9,20,4430141,0.5
,Alabama,01,"Endocrine, nutritional and metabolic diseases",E00-E88,"Hypothyroidism, unspecified",E03.9,19,4430141,0.4 (Unreliable)
,Alabama,01,"Endocrine, nutritional and metabolic diseases",E00-E88,"Insulin-dependent diabetes mellitus, with peripheral circulatory complications",E10.5,17,4430141,0.4 (Unreliable)
,Alabama,01,"Endocrine, nutritional and metabolic diseases",E00-E88,"Insulin-dependent diabetes mellitus, without complications",E10.9,129,4430141,2.9
,Alabama,01,"Endocrine, nutritional and metabolic diseases",E00-E88,"Non-insulin-dependent diabetes mellitus, with peripheral circulatory complications",E11.5,29,4430141,0.7
,Alabama,01,"Endocrine, nutritional and metabolic diseases",E00-E88,"Non-insulin-dependent diabetes mellitus, without complications",E11.9,163,4430141,3.7
,Alabama,01,"Endocrine, nutritional and metabolic diseases",E00-E88,"Unspecified diabetes mellitus, with coma",E14.0,18,4430141,0.4 (Unreliable)
,Alabama,01,"Endocrine, nutritional and metabolic diseases",E00-E88,"Unspecified diabetes mellitus, with ketoacidosis",E14.1,34,4430141,0.8
,Alabama,01,"Endocrine, nutritional and metabolic diseases",E00-E88,"Unspecified diabetes mellitus, with peripheral circulatory complications",E14.5,75,4430141,1.7
,Alabama,01,"Endocrine, nutritional and metabolic diseases",E00-E88,"Unspecified diabetes mellitus, with multiple complications",E14.7,10,4430141,0.2 (Unreliable)
,Alabama,01,"Endocrine, nutritional and metabolic diseases",E00-E88,"Unspecified diabetes mellitus, without complications",E14.9,829,4430141,18.7
,Alabama,01,"Endocrine, nutritional and metabolic diseases",E00-E88,"Hypoglycaemia, unspecified",E16.2,10,4430141,0.2 (Unreliable)
,Alabama,01,"Endocrine, nutritional and metabolic diseases",E00-E88,Unspecified protein-energy malnutrition,E46,65,4430141,1.5
,Alabama,01,"Endocrine, nutritional and metabolic diseases",E00-E88,Other obesity,E66.8,20,4430141,0.5
,Alabama,01,"Endocrine, nutritional and metabolic diseases",E00-E88,"Obesity, unspecified",E66.9,15,4430141,0.3 (Unreliable)
,Alabama,01,"Endocrine, nutritional and metabolic diseases",E00-E88,Pure hypercholesterolaemia,E78.0,10,4430141,0.2 (Unreliable)
,Alabama,01,"Endocrine, nutritional and metabolic diseases",E00-E88,"Hyperlipidaemia, unspecified",E78.5,18,4430141,0.4 (Unreliable)
,Alabama,01,"Endocrine, nutritional and metabolic diseases",E00-E88,Volume depletion,E86,97,4430141,2.2
,Alabama,01,"Endocrine, nutritional and metabolic diseases",E00-E88,Hyperosmolality and hypernatraemia,E87.0,21,4430141,0.5
,Alabama,01,"Endocrine, nutritional and metabolic diseases",E00-E88,Acidosis,E87.2,30,4430141,0.7
,Alabama,01,"Endocrine, nutritional and metabolic diseases",E00-E88,Hyperkalaemia,E87.5,16,4430141,0.4 (Unreliable)
,Alabama,01,"Endocrine, nutritional and metabolic diseases",E00-E88,"Other disorders of electrolyte and fluid balance, not elsewhere classified",E87.8,11,4430141,0.2 (Unreliable)
,Alabama,01,Mental and behavioural disorders,F01-F99,Unspecified dementia,F03,419,4430141,9.5
,Alabama,01,Mental and behavioural disorders,F01-F99,Unspecified mental disorder due to brain damage and dysfunction and to physical disease,F06.9,95,4430141,2.1
,Alabama,01,Mental and behavioural disorders,F01-F99,"Mental and behavioural disorders due to use of alcohol, harmful use",F10.1,42,4430141,0.9
,Alabama,01,Mental and behavioural disorders,F01-F99,"Mental and behavioural disorders due to use of alcohol, dependence syndrome",F10.2,33,4430141,0.7
,Alabama,01,Diseases of the nervous system,G00-G98,"Encephalitis, myelitis and encephalomyelitis, unspecified",G04.9,10,4430141,0.2 (Unreliable)
,Alabama,01,Diseases of the nervous system,G00-G98,Motor neuron disease,G12.2,57,4430141,1.3
,Alabama,01,Diseases of the nervous system,G00-G98,Parkinson disease,G20,207,4430141,4.7
,Alabama,01,Diseases of the nervous system,G00-G98,Alzheimer disease with late onset,G30.1,40,4430141,0.9
,Alabama,01,Diseases of the nervous system,G00-G98,"Alzheimer disease, unspecified",G30.9,732,4430141,16.5
,Alabama,01,Diseases of the nervous system,G00-G98,"Degenerative disease of nervous system, unspecified",G31.9,12,4430141,0.3 (Unreliable)
,Alabama,01,Diseases of the nervous system,G00-G98,Multiple sclerosis,G35,28,4430141,0.6
,Alabama,01,Diseases of the nervous system,G00-G98,"Epilepsy, unspecified",G40.9,19,4430141,0.4 (Unreliable)
,Alabama,01,Diseases of the nervous system,G00-G98,"Status epilepticus, unspecified",G41.9,11,4430141,0.2 (Unreliable)
,Alabama,01,Diseases of the nervous system,G00-G98,Sleep apnoea,G47.3,10,4430141,0.2 (Unreliable)
,Alabama,01,Diseases of the nervous system,G00-G98,Myasthenia gravis,G70.0,12,4430141,0.3 (Unreliable)
,Alabama,01,Diseases of the nervous system,G00-G98,Muscular dystrophy,G71.0,12,4430141,0.3 (Unreliable)
,Alabama,01,Diseases of the nervous system,G00-G98,"Infantile cerebral palsy, unspecified",G80.9,22,4430141,0.5
,Alabama,01,Diseases of the nervous system,G00-G98,"Anoxic brain damage, not elsewhere classified",G93.1,99,4430141,2.2
,Alabama,01,Diseases of the nervous system,G00-G98,"Encephalopathy, unspecified",G93.4,16,4430141,0.4 (Unreliable)
,Alabama,01,Diseases of the circulatory system,I00-I99,"Mitral valve disease, unspecified",I05.9,13,4430141,0.3 (Unreliable)
,Alabama,01,Diseases of the circulatory system,I00-I99,Essential (primary) hypertension,I10,186,4430141,4.2
,Alabama,01,Diseases of the circulatory system,I00-I99,Hypertensive heart disease with (congestive) heart failure,I11.0,164,4430141,3.7
,Alabama,01,Diseases of the circulatory system,I00-I99,Hypertensive heart disease without (congestive) heart failure,I11.9,239,4430141,5.4
,Alabama,01,Diseases of the circulatory system,I00-I99,Hypertensive renal disease with renal failure,I12.0,124,4430141,2.8
,Alabama,01,Diseases of the circulatory system,I00-I99,Hypertensive heart and renal disease with renal failure,I13.1,31,4430141,0.7
,Alabama,01,Diseases of the circulatory system,I00-I99,Hypertensive heart and renal disease with both (congestive) heart failure and renal failure,I13.2,53,4430141,1.2
,Alabama,01,Diseases of the circulatory system,I00-I99,"Acute myocardial infarction, unspecified",I21.9,3820,4430141,86.2
,Alabama,01,Diseases of the circulatory system,I00-I99,Other forms of acute ischaemic heart disease,I24.8,28,4430141,0.6
,Alabama,01,Diseases of the circulatory system,I00-I99,"Acute ischaemic heart disease, unspecified",I24.9,14,4430141,0.3 (Unreliable)
,Alabama,01,Diseases of the circulatory system,I00-I99,"Atherosclerotic cardiovascular disease, so described",I25.0,751,4430141,17.0
,Alabama,01,Diseases of the circulatory system,I00-I99,Atherosclerotic heart disease,I25.1,2365,4430141,53.4
,Alabama,01,Diseases of the circulatory system,I00-I99,Ischaemic cardiomyopathy,I25.5,183,4430141,4.1
,Alabama,01,Diseases of the circulatory system,I00-I99,Other forms of chronic ischaemic heart disease,I25.8,15,4430141,0.3 (Unreliable)
,Alabama,01,Diseases of the circulatory system,I00-I99,"Chronic ischaemic heart disease, unspecified",I25.9,333,4430141,7.5
,Alabama,01,Diseases of the circulatory system,I00-I99,Pulmonary embolism without mention of acute cor pulmonale,I26.9,225,4430141,5.1
,Alabama,01,Diseases of the circulatory system,I00-I99,Primary pulmonary hypertension,I27.0,39,4430141,0.9
,Alabama,01,Diseases of the circulatory system,I00-I99,"Pulmonary heart disease, unspecified",I27.9,28,4430141,0.6
,Alabama,01,Diseases of the circulatory system,I00-I99,Acute and subacute infective endocarditis,I33.0,13,4430141,0.3 (Unreliable)
,Alabama,01,Diseases of the circulatory system,I00-I99,Mitral (valve) insufficiency,I34.0,37,4430141,0.8
,Alabama,01,Diseases of the circulatory system,I00-I99,Aortic (valve) stenosis,I35.0,112,4430141,2.5
,Alabama,01,Diseases of the circulatory system,I00-I99,"Aortic valve disorder, unspecified",I35.9,20,4430141,0.5
,Alabama,01,Diseases of the circulatory system,I00-I99,"Endocarditis, valve unspecified",I38,54,4430141,1.2
,Alabama,01,Diseases of the circulatory system,I00-I99,Dilated cardiomyopathy,I42.0,63,4430141,1.4
,Alabama,01,Diseases of the circulatory system,I00-I99,Other hypertrophic cardiomyopathy,I42.2,17,4430141,0.4 (Unreliable)
,Alabama,01,Diseases of the circulatory system,I00-I99,"Cardiomyopathy, unspecified",I42.9,367,4430141,8.3
,Alabama,01,Diseases of the circulatory system,I00-I99,"Atrioventricular block, complete",I44.2,13,4430141,0.3 (Unreliable)
,Alabama,01,Diseases of the circulatory system,I00-I99,"Sudden cardiac death, so described",I46.1,93,4430141,2.1
,Alabama,01,Diseases of the circulatory system,I00-I99,"Cardiac arrest, unspecified",I46.9,1514,4430141,34.2
,Alabama,01,Diseases of the circulatory system,I00-I99,Ventricular tachycardia,I47.2,12,4430141,0.3 (Unreliable)
,Alabama,01,Diseases of the circulatory system,I00-I99,Atrial fibrillation and flutter,I48,174,4430141,3.9
,Alabama,01,Diseases of the circulatory system,I00-I99,Ventricular fibrillation and flutter,I49.0,51,4430141,1.2
,Alabama,01,Diseases of the circulatory system,I00-I99,Sick sinus syndrome,I49.5,10,4430141,0.2 (Unreliable)
,Alabama,01,Diseases of the circulatory system,I00-I99,"Cardiac arrhythmia, unspecified",I49.9,146,4430141,3.3
,Alabama,01,Diseases of the circulatory system,I00-I99,Congestive heart failure,I50.0,1756,4430141,39.6
,Alabama,01,Diseases of the circulatory system,I00-I99,"Heart failure, unspecified",I50.9,295,4430141,6.7
,Alabama,01,Diseases of the circulatory system,I00-I99,"Myocarditis, unspecified",I51.4,13,4430141,0.3 (Unreliable)
,Alabama,01,Diseases of the circulatory system,I00-I99,"Cardiovascular disease, unspecified",I51.6,152,4430141,3.4
,Alabama,01,Diseases of the circulatory system,I00-I99,Cardiomegaly,I51.7,24,4430141,0.5
,Alabama,01,Diseases of the circulatory system,I00-I99,"Heart disease, unspecified",I51.9,65,4430141,1.5
,Alabama,01,Diseases of the circulatory system,I00-I99,"Subarachnoid haemorrhage, unspecified",I60.9,113,4430141,2.6
,Alabama,01,Diseases of the circulatory system,I00-I99,Intracerebral haemorrhage in brain stem,I61.3,17,4430141,0.4 (Unreliable)
,Alabama,01,Diseases of the circulatory system,I00-I99,Intracerebral haemorrhage in cerebellum,I61.4,10,4430141,0.2 (Unreliable)
,Alabama,01,Diseases of the circulatory system,I00-I99,"Intracerebral haemorrhage, intraventricular",I61.5,16,4430141,0.4 (Unreliable)
,Alabama,01,Diseases of the circulatory system,I00-I99,"Intracerebral haemorrhage, unspecified",I61.9,338,4430141,7.6
,Alabama,01,Diseases of the circulatory system,I00-I99,Subdural haemorrhage (acute)(nontraumatic),I62.0,18,4430141,0.4 (Unreliable)
,Alabama,01,Diseases of the circulatory system,I00-I99,"Intracranial haemorrhage (nontraumatic), unspecified",I62.9,85,4430141,1.9
,Alabama,01,Diseases of the circulatory system,I00-I99,Cerebral infarction due to unspecified occlusion or stenosis of precerebral arteries,I63.2,14,4430141,0.3 (Unreliable)
,Alabama,01,Diseases of the circulatory system,I00-I99,Cerebral infarction due to thrombosis of cerebral arteries,I63.3,64,4430141,1.4
,Alabama,01,Diseases of the circulatory system,I00-I99,"Cerebral infarction, unspecified",I63.9,149,4430141,3.4
,Alabama,01,Diseases of the circulatory system,I00-I99,"Stroke, not specified as haemorrhage or infarction",I64,1869,4430141,42.2
,Alabama,01,Diseases of the circulatory system,I00-I99,"Cerebral aneurysm, nonruptured",I67.1,20,4430141,0.5
,Alabama,01,Diseases of the circulatory system,I00-I99,Cerebral atherosclerosis,I67.2,16,4430141,0.4 (Unreliable)
,Alabama,01,Diseases of the circulatory system,I00-I99,Other specified cerebrovascular diseases,I67.8,24,4430141,0.5
,Alabama,01,Diseases of the circulatory system,I00-I99,"Cerebrovascular disease, unspecified",I67.9,89,4430141,2.0
,Alabama,01,Diseases of the circulatory system,I00-I99,Sequelae of cerebral infarction,I69.3,11,4430141,0.2 (Unreliable)
,Alabama,01,Diseases of the circulatory system,I00-I99,"Sequelae of stroke, not specified as haemorrhage or infarction",I69.4,164,4430141,3.7
,Alabama,01,Diseases of the circulatory system,I00-I99,Sequelae of other and unspecified cerebrovascular diseases,I69.8,95,4430141,2.1
,Alabama,01,Diseases of the circulatory system,I00-I99,Generalized and unspecified atherosclerosis,I70.9,204,4430141,4.6
,Alabama,01,Diseases of the circulatory system,I00-I99,Dissection of aorta [any part],I71.0,49,4430141,1.1
,Alabama,01,Diseases of the circulatory system,I00-I99,"Thoracic aortic aneurysm, ruptured",I71.1,23,4430141,0.5
,Alabama,01,Diseases of the circulatory system,I00-I99,"Thoracic aortic aneurysm, without mention of rupture",I71.2,20,4430141,0.5
,Alabama,01,Diseases of the circulatory system,I00-I99,"Abdominal aortic aneurysm, ruptured",I71.3,58,4430141,1.3
,Alabama,01,Diseases of the circulatory system,I00-I99,"Abdominal aortic aneurysm, without mention of rupture",I71.4,32,4430141,0.7
,Alabama,01,Diseases of the circulatory system,I00-I99,"Aortic aneurysm of unspecified site, ruptured",I71.8,17,4430141,0.4 (Unreliable)
,Alabama,01,Diseases of the circulatory system,I00-I99,"Aortic aneurysm of unspecified site, without mention of rupture",I71.9,19,4430141,0.4 (Unreliable)
,Alabama,01,Diseases of the circulatory system,I00-I99,Aneurysm of unspecified site,I72.9,11,4430141,0.2 (Unreliable)
,Alabama,01,Diseases of the circulatory system,I00-I99,"Peripheral vascular disease, unspecified",I73.9,90,4430141,2.0
,Alabama,01,Diseases of the circulatory system,I00-I99,Embolism and thrombosis of unspecified artery,I74.9,10,4430141,0.2 (Unreliable)
,Alabama,01,Diseases of the circulatory system,I00-I99,"Arteritis, unspecified",I77.6,10,4430141,0.2 (Unreliable)
,Alabama,01,Diseases of the circulatory system,I00-I99,Phlebitis and thrombophlebitis of other deep vessels of lower extremities,I80.2,34,4430141,0.8
,Alabama,01,Diseases of the circulatory system,I00-I99,Other and unspecified disorders of circulatory system,I99,13,4430141,0.3 (Unreliable)
,Alabama,01,Diseases of the respiratory system,J00-J98,Pneumonia due to Streptococcus pneumoniae,J13,16,4430141,0.4 (Unreliable)
,Alabama,01,Diseases of the respiratory system,J00-J98,Pneumonia due to staphylococcus,J15.2,24,4430141,0.5
,Alabama,01,Diseases of the respiratory system,J00-J98,"Bacterial pneumonia, unspecified",J15.9,17,4430141,0.4 (Unreliable)
,Alabama,01,Diseases of the respiratory system,J00-J98,"Bronchopneumonia, unspecified",J18.0,22,4430141,0.5
,Alabama,01,Diseases of the respiratory system,J00-J98,"Lobar pneumonia, unspecified",J18.1,17,4430141,0.4 (Unreliable)
,Alabama,01,Diseases of the respiratory system,J00-J98,"Pneumonia, unspecified",J18.9,1086,4430141,24.5
,Alabama,01,Diseases of the respiratory system,J00-J98,"Bronchitis, not specified as acute or chronic",J40,11,4430141,0.2 (Unreliable)
,Alabama,01,Diseases of the respiratory system,J00-J98,"Emphysema, unspecified",J43.9,310,4430141,7.0
,Alabama,01,Diseases of the respiratory system,J00-J98,Chronic obstructive pulmonary disease with acute lower respiratory infection,J44.0,10,4430141,0.2 (Unreliable)
,Alabama,01,Diseases of the respiratory system,J00-J98,Other specified chronic obstructive pulmonary disease,J44.8,59,4430141,1.3
,Alabama,01,Diseases of the respiratory system,J00-J98,"Chronic obstructive pulmonary disease, unspecified",J44.9,1696,4430141,38.3
,Alabama,01,Diseases of the respiratory system,J00-J98,"Asthma, unspecified",J45.9,56,4430141,1.3
,Alabama,01,Diseases of the respiratory system,J00-J98,Bronchiectasis,J47,21,4430141,0.5
,Alabama,01,Diseases of the respiratory system,J00-J98,Pneumoconiosis due to asbestos and other mineral fibres,J61,10,4430141,0.2 (Unreliable)
,Alabama,01,Diseases of the respiratory system,J00-J98,Pneumonitis due to food and vomit,J69.0,306,4430141,6.9
,Alabama,01,Diseases of the respiratory system,J00-J98,Adult respiratory distress syndrome,J80,70,4430141,1.6
,Alabama,01,Diseases of the respiratory system,J00-J98,Pulmonary oedema,J81,26,4430141,0.6
,Alabama,01,Diseases of the respiratory system,J00-J98,Other interstitial pulmonary diseases with fibrosis,J84.1,139,4430141,3.1
,Alabama,01,Diseases of the respiratory system,J00-J98,"Interstitial pulmonary disease, unspecified",J84.9,36,4430141,0.8
,Alabama,01,Diseases of the respiratory system,J00-J98,"Pleural effusion, not elsewhere classified",J90,18,4430141,0.4 (Unreliable)
,Alabama,01,Diseases of the respiratory system,J00-J98,Acute respiratory failure,J96.0,13,4430141,0.3 (Unreliable)
,Alabama,01,Diseases of the respiratory system,J00-J98,"Respiratory failure, unspecified",J96.9,160,4430141,3.6
,Alabama,01,Diseases of the respiratory system,J00-J98,Other disorders of lung,J98.4,70,4430141,1.6
,Alabama,01,Diseases of the digestive system,K00-K92,"Duodenal ulcer, chronic or unspecified with perforation",K26.5,14,4430141,0.3 (Unreliable)
,Alabama,01,Diseases of the digestive system,K00-K92,"Peptic ulcer, site unspecified, chronic or unspecified with haemorrhage",K27.4,17,4430141,0.4 (Unreliable)
,Alabama,01,Diseases of the digestive system,K00-K92,"Noninfective gastroenteritis and colitis, unspecified",K52.9,20,4430141,0.5
,Alabama,01,Diseases of the digestive system,K00-K92,Acute vascular disorders of intestine,K55.0,78,4430141,1.8
,Alabama,01,Diseases of the digestive system,K00-K92,"Vascular disorder of intestine, unspecified",K55.9,76,4430141,1.7
,Alabama,01,Diseases of the digestive system,K00-K92,Other and unspecified intestinal obstruction,K56.6,62,4430141,1.4
