JCAT	Piece	Name	LaunchDate	LState	Owner	OwnState	UNState	Mass	Class	Category	TF	Perigee	Apogee	Inc	OpOrbit
S22490	1993-009B	SCD-1	1993 Feb  9 1430:34	US	INPE	BR	BR	     115.000 	C	COM	-	     724	     789	 24.97 	LEO/E
S22787	1993-056A	UHF F/O F2	1993 Sep  3 1117:02	US	HCI	US	US	    2840.000 	D	COM	-	   35129	   36444	  5.09 	GEO/I
S22825	1993-061C	AMRAD-OSCAR-27	1993 Sep 26 0145:00	F	INFER	US	US	      12.000 	B	COM	Z	     793	     806	 98.68 	LEO/S
S22827	1993-061E	ITAMSat-OSCAR-26	1993 Sep 26 0145:00	F	AMIT	I	[I]	      12.000 	A	COM	-	     792	     806	 98.68 	LEO/S
S22988	1994-009A	Milstar 1	1994 Feb  7 2147:01	US	AFSMC	US	US	    4500.000 	D	COM	-	   35777	   35796	  0.01 	GEO/S
S23097	1994-026A	USA 103	1994 May  3 1555:01	US	NROC/AFSMC	US	US	    1232.000 	D	SIG	U	    1628	   38728	 63.06 	HEO/M
S23223	1994-054A	USA 105	1994 Aug 27 0858:01	US	NROC	US	US	    4500.000 	D	SIG	-	   35592	   35981	  4.60 	GEO/I
S23333	1994-071A	Wind	1994 Nov  1 0931:00	US	GSFC	US	US	    1195.000 	C	SCI	U	     186	  470310	 28.75 	CLO
S23439	1994-085A	Radio-ROSTO	1994 Dec 26 0301:16	RU	NPOPMR	RU	RU	      70.000 	C	COM	-	    1881	    2163	 64.82 	MEO
S23467	1995-003A	UHF F/O F4	1995 Jan 29 0125:01	US	HCI	US	US	    3023.000 	D	COM	-	   35646	   35920	  5.11 	GEO/I
S23553	1995-019A	AMSC 1	1995 Apr  7 2347:00	US	AMSC	US	US	    2995.000 	B	COM	-	   35759	   35796	  0.11 	GEO/S
S23567	1995-022A	USA 110	1995 May 14 1345:01	US	NROC/CIA	US	US	    5000.000 	D	SIG	U	   35750	   35800	  0.00 	GEO/S
S23609	1995-034A	USA 112	1995 Jul 10 1238:03	US	NROC/AFSMC	US	US	    3000.000 	D	SIG	U	    1575	   38780	 63.41 	HEO/M
S23613	1995-035B	TDRS 7	1995 Jul 13 1341:55	US	GSFC	US	US	    2225.000 	C	COM	-	   35784	   35791	  0.03 	GEO/S
S23712	1995-060A	Milstar 2	1995 Nov  6 0515:01	US	AFSMC	US	US	    4500.000 	D	COM	-	   35778	   35795	  3.53 	GEO/I
S23726	1995-065A	SOHO	1995 Dec  2 0808:01	US	ESA	I-ESA	I-ESA	    1864.000 	C	AST	E	     177	 1115746	 29.72 	CLO
S23839	1996-020A	INMARSAT III F-1	1996 Apr  3 2301:01	US	INMAR	I-INM	[US]*	    2068.000 	C	COM	-	   35546	   35573	  2.64 	GEO/D
S23855	1996-026A	USA 118	1996 Apr 24 2337:02	US	NROC/AFSMC	US	US	    4500.000 	D	SIG	-	   35780	   35800	  0.10 	GEO/S
S24278	1996-046B	Fuji-OSCAR-29	1996 Aug 17 0153	J	JARL	J	J	      50.000 	A	COM	U	     800	    1324	 98.58 	LEO/S
S24307	1996-053A	INMARSAT III F-2	1996 Sep  6 1737:39	RU	INMAR	I-INM	[RU]*	    1130.000 	C	COM	-	   36039	   36053	  2.67 	GEO/D
S24674	1996-070A	INMARSAT III F-3	1996 Dec 18 0157:01	US	INMAR	I-INM	[US]*	    2071.000 	C	COM	-	   35457	   35694	  2.61 	GEO/D
S24876	1997-035A	GPS IIR-2	1997 Jul 23 0343:01	US	AFSMC	US	US	    2032.000 	D	NAV	-	   20123	   20247	 54.93 	MEO
S24912	1997-045A	ACE	1997 Aug 25 1439:00	US	GSFC	US	US	     785.000 	C	SCI	E	     177	 1281969	 28.70 	CLO
S24920	1997-047A	FORTE	1997 Aug 29 1502:22	US	STP	US	US	     212.000 	C	SCI	-	     800	     833	 69.95 	LEO/I
S24936	1997-050A	GE 3	1997 Sep  4 1203:00	US	AMCG	US	US	    2845.000 	B	COM	-	   35783	   35790	  0.02 	GEO/S
S25019	1997-065A	DSCS III B-13	1997 Oct 25 0046:00	US	AFSMC/DISA	US	US	    1232.000 	D	COM	-	   35780	   35800	  0.00 	GEO/S
S25034	1997-068A	USA 136	1997 Nov  8 0205:01	US	NROC/AFSMC	US	US	    3000.000 	D	SIG	-	    1211	   38740	 64.74 	GTO
S25112	1997-084A	Orbcomm A4	1997 Dec 23 1911:42	US	ORBC	US	US	      42.000 	B	COM	-	     816	     822	 45.02 	LEO/I
S25113	1997-084B	Orbcomm A6	1997 Dec 23 1911:42	US	ORBC	US	US	      42.000 	B	COM	-	     818	     824	 45.03 	LEO/I
S25114	1997-084C	Orbcomm A7	1997 Dec 23 1911:42	US	ORBC	US	US	      42.000 	B	COM	-	     817	     824	 45.03 	LEO/I
S25115	1997-084D	Orbcomm A8	1997 Dec 23 1911:42	US	ORBC	US	US	      42.000 	B	COM	-	     818	     823	 45.03 	LEO/I
S25116	1997-084E	Orbcomm A5	1997 Dec 23 1911:42	US	ORBC	US	US	      42.000 	B	COM	-	     816	     822	 45.03 	LEO/I
S25117	1997-084F	Orbcomm A1	1997 Dec 23 1911:42	US	ORBC	US	US	      42.000 	B	COM	-	     814	     824	 45.03 	LEO/I
S25118	1997-084G	Orbcomm A2	1997 Dec 23 1911:42	US	ORBC	US	US	      42.000 	B	COM	-	     813	     824	 45.02 	LEO/I
S25153	1998-006B	INMARSAT III F-5	1998 Feb  4 2329	F	INMAR	I-INM	UK*	    2000.000 	C	COM	-	   35783	   35820	  2.89 	GEO/D
S25159	1998-007C	Orbcomm G2	1998 Feb 10 1320	US	ORBC	US	US	      42.000 	B	COM	-	     777	     804	108.00 	LEO/R
S25336	1998-029A	USA 139	1998 May  9 0138:01	US	NROC/NSA	US	US	    5000.000 	D	SIG	-	   35780	   35800	  0.10 	GEO/S
S25397	1998-043D	Gurwin-OSCAR-32	1998 Jul 10 0630:00	RU	TECN	IL	[IL]	      50.000 	A	COM	-	     815	     818	 98.80 	LEO/S
S25414	1998-046B	Orbcomm B6	1998 Aug  2 1624	US	ORBC	US	US	      42.000 	B	COM	-	     813	     824	 45.00 	LEO/I
S25415	1998-046C	Orbcomm B7	1998 Aug  2 1624	US	ORBC	US	US	      42.000 	B	COM	-	     814	     824	 45.00 	LEO/I
S25416	1998-046D	Orbcomm B8	1998 Aug  2 1624	US	ORBC	US	US	      42.000 	B	COM	-	     814	     825	 45.00 	LEO/I
S25418	1998-046F	Orbcomm B3	1998 Aug  2 1624	US	ORBC	US	US	      42.000 	B	COM	-	     819	     824	 45.00 	LEO/I
S25420	1998-046H	Orbcomm B1	1998 Aug  2 1624	US	ORBC	US	US	      42.000 	B	COM	-	     816	     827	 45.00 	LEO/I
S25475	1998-053A	Orbcomm C1	1998 Sep 23 0506	US	ORBC	US	US	      42.000 	B	COM	-	     810	     822	 45.01 	LEO/I
S25481	1998-053G	Orbcomm C7	1998 Sep 23 0506	US	ORBC	US	US	      42.000 	B	COM	-	     807	     820	 45.02 	LEO/I
S25504	1998-060A	SCD-2	1998 Oct 23 0002	US	INPE	BR	BR	     115.000 	C	COM	-	     742	     768	 25.00 	LEO/E
S25544	1998-067A	Zarya	1998 Nov 20 0640:00	RU	JSC	US	US	   20351.000 	C	SS	-	     393	     399	 51.59 	LLEO/I
S25575	1998-069F	Unity	1998 Dec  4 0835:34	US	JSC	US	US	   11600.000 	C	SS	U	     387	     400	 51.59 	LLEO/I
S25635	1999-008B	Orsted	1999 Feb 23 1029:55	US	DMI	DK	DK	      62.000 	C	SCI	Z	     646	     864	 96.48 	LEO/S
S25639	1999-009B	Skynet 4E	1999 Feb 26 2244	F	MOD	UK	UK	    1490.000 	D	COM	-	   31657	   39130	  3.35 	GEO/NS
S25682	1999-020A	Landsat 7	1999 Apr 15 1832:00	US	USGS	US	US	    2101.000 	C	IMG	-	     687	     698	 98.22 	LEO/S
S25867	1999-040B	Chandra X-ray Observatory	1999 Jul 23 0431:00	US	MSFC	US	US	    5677.000 	C	AST	-	    9999	  138826	 28.56 	VHEO
S25924	1999-053A	LMI 1	1999 Sep 26 2230:00	RU	LMSCV/LMI	US	[US]	    3740.000 	B	COM	-	   35780	   35792	  0.06 	GEO/S
S25933	1999-055A	GPS IIR-3	1999 Oct  7 1251:01	US	AFSMC	US	US	    2032.000 	D	NAV	-	   20096	   20268	 53.04 	MEO
S25967	1999-063A	UHF F/O F10	1999 Nov 23 0406:01	US	PMW146	US	US	    3205.000 	D	COM	-	   34942	   36630	  6.02 	GEO/I
S25981	1999-065B	Orbcomm D3	1999 Dec  4 1853	US	ORBC	US	US	      44.000 	B	COM	-	     825	     833	 45.04 	LEO/I
S25982	1999-065C	Orbcomm D4	1999 Dec  4 1853	US	ORBC	US	US	      44.000 	B	COM	-	     823	     832	 45.03 	LEO/I
S25984	1999-065E	Orbcomm D8	1999 Dec  4 1853	US	ORBC	US	US	      44.000 	B	COM	-	     824	     831	 45.03 	LEO/I
S25985	1999-065F	Orbcomm D7	1999 Dec  4 1853	US	ORBC	US	US	      44.000 	B	COM	-	     824	     829	 45.04 	LEO/I
S25989	1999-066A	XMM-Newton	1999 Dec 10 1432:07	F	ESA	I-ESA	I-ESA	    3764.000 	C	AST	-	    7079	  114028	 38.49 	VHEO
S25994	1999-068A	Terra	1999 Dec 18 1857:39	US	GSFC	US	US	    5190.000 	C	IMG	-	     655	     686	 98.24 	LEO/S
S26038	1999-071A	Galaxy 11	1999 Dec 22 0050	F	PAN	US	US	    4484.000 	B	COM	-	   33612	   38050	  0.12 	GEO/NS
S26063	2000-004C	OPAL-OSCAR-38	2000 Jan 27 0303:06	US	STAN	US	US	      13.000 	A	TECH	Z	     750	     805	100.23 	LEO/S
S26107	2000-016A	Asiastar	2000 Mar 21 2328:19	F	WORSP	US	US	    2777.000 	B	COM	-	   35781	   35794	  0.01 	GEO/S
S26356	2000-024A	DSP F20	2000 May  8 1601:00	US	AFSMC	US	US	    2360.000 	D	EW*	-	   35911	   35970	  2.90 	GEO/D
S26360	2000-025A	GPS IIR-4	2000 May 11 0148:00	US	AFSMC	US	US	    2032.000 	D	NAV	-	   20133	   20234	 54.90 	MEO
S26388	2000-034A	TDRS 8	2000 Jun 30 1256:01	US	GSFC	US	US	    3180.000 	C	COM	-	   35669	   35899	  6.72 	GEO/I
S26400	2000-037A	Zvezda	2000 Jul 12 0456:36	RU	RKKE	RU	RU	   20295.000 	C	SS	U	     288	     358	 51.58 	LLEO/I
S26451	2000-043A	PAS 9	2000 Jul 28 2242:00	CYM	PAN	US	US	    3650.000 	B	COM	-	   35444	   35786	  0.07 	GEO/D
S26546	2000-057B	Megsat-1	2000 Sep 26 1005:00	RU	MEGS	I	I	      56.000 	B	SCI	Z	     640	     646	 64.56 	LEO/I
S26554	2000-059A	GE-1A	2000 Oct  1 2200:00	RU	AMCG/GECAP	US	US	    3593.000 	B	COM	-	   35768	   35776	  0.05 	GEO/D
S26575	2000-065A	DSCS III B-11	2000 Oct 20 0040:02	US	AFSMC/DISA	US	US	    1232.000 	D	COM*	-	   35780	   35800	  1.00 	GEO/S
S26580	2000-067A	GE 6	2000 Oct 21 2200:00	RU	AMCG	US	US	    3552.000 	B	COM	-	   35781	   35792	  0.02 	GEO/S
S26608	2000-072A	PAS 1R	2000 Nov 16 0107:07	F	PAN	US	US	    4793.000 	B	COM	-	   35786	   35787	  0.04 	GEO/S
S26635	2000-080A	USA 155	2000 Dec  6 0247:01	US	NROC	US	US	    3500.000 	D	COM*	-	   35780	   35800	  0.00 	GEO/S
S26700	2001-006B	Destiny	2001 Feb  7 2313:02	US	JSC	US	US	   13547.000 	C	SS	U	     365	     378	 51.60 	LLEO/I
S26702	2001-007A	Odin	2001 Feb 20 0848:27	RU	SSC	S	S	     250.000 	C	EOSCI/AST	-	     611	     621	 97.83 	LEO/S
S26715	2001-009A	Milstar 4	2001 Feb 27 2120:00	US	AFSMC	US	US	    4500.000 	D	COM*	-	   35764	   35768	  4.50 	GEO/ID
S26734	2001-013A	Mars Odyssey	2001 Apr  7 1502:22	US	JPL	US	US	     725.000 	C	PLAN	E	     185	  -87213	 51.83 	EEO
S26766	2001-019A	PAS 10	2001 May 15 0111:30	RU	PAN	US	US	    3772.000 	B	COM	-	   35769	   35803	  0.01 	GEO/S
S26880	2001-033A	DSP F21	2001 Aug  6 0728:00	US	AFSMC	US	US	    2360.000 	D	EW*	-	   35780	   35780	  2.90 	GEO/S
S26900	2001-039A	INTELSAT 902	2001 Aug 30 0646	F	INTELD	US	US*	    4723.000 	B	COM	-	   35776	   35796	  0.01 	GEO/S
S26931	2001-043C	Navy-OSCAR-44	2001 Sep 30 0240	US	USNA/AFSMC	US	US	      10.000 	A	COM	-	     790	     801	 67.06 	LEO/I
S26948	2001-046A	USA 162	2001 Oct 11 0232:00	US	NROC	US	US	    3500.000 	D	COM*	-	   35780	   35800	  0.00 	GEO/S
S26958	2001-049B	PROBA	2001 Oct 22 0453:00	IN	ESA	I-ESA	I-ESA	      94.000 	C	TECH	-	     553	     676	 97.91 	LEO/S
S26998	2001-055B	TIMED	2001 Dec  7 1507:35	US	GSFC	US	US	     587.000 	C	EOSCI/SCI	-	     626	     628	 74.08 	LEO/I
S27168	2002-001A	Milstar 5	2002 Jan 16 0030:01	US	AFSMC	US	US	    4500.000 	D	COM*	-	   35758	   35815	  1.70 	GEO/S
S27380	2002-007A	INTELSAT 904	2002 Feb 23 0659	F	INTELD	US	US*	    4680.000 	B	COM	-	   35758	   35813	  0.01 	GEO/S
S27424	2002-022A	Aqua	2002 May  4 0954:58	US	GSFC	US	US	    3078.000 	C	IMG	-	     673	     686	 98.18 	LEO/S
S27426	2002-023A	DirecTV 5	2002 May  7 1700:00	RU	DTV	US	US	    3640.000 	B	COM	-	   35775	   35797	  0.01 	GEO/S
S27431	2002-024B	Feng Yun 1D	2002 May 15 0150	CN	NSMC	CN	CN	     950.000 	C	IMG	Z	     851	     872	 98.80 	LEO/S
S27438	2002-027A	INTELSAT 905	2002 Jun  5 0644	F	INTELD	US	US*	    4723.000 	B	COM	-	   35778	   35794	  0.03 	GEO/S
S27445	2002-030A	Galaxy 3C	2002 Jun 15 2239:30	US	PAN	US	US	    4850.000 	B	COM	-	   35785	   35788	  0.05 	GEO/S
S27513	2002-041A	INTELSAT 906	2002 Sep  6 0644	F	INTELD	US	US*	    4723.000 	B	COM	-	   35776	   35797	  0.01 	GEO/S
S27540	2002-048A	Integral	2002 Oct 17 0441:00	RU	ESA	I-ESA	I-ESA	    3954.000 	C	AST	-	    2285	  152813	 52.16 	DSO
S27566	2002-055A	TDRS 10	2002 Dec  5 0242:01	US	GSFC	US	US	    3189.000 	C	COM	-	   35766	   35798	  6.09 	GEO/I
S27607	2002-058C	Saudi-OSCAR-50	2002 Dec 20 1700:00	RU	KACST	SA	SA	      15.000 	C	COM	-	     633	     690	 64.56 	LEO/I
S27632	2002-062A	Nimiq 2	2002 Dec 29 2316:40	RU	TCAN	CA	CA	    3600.000 	B	COM	-	   35776	   35797	  0.01 	GEO/S
S27640	2003-001A	Coriolis	2003 Jan  6 1419	US	AFSMC	US	US	     827.000 	C	EOSCI/AST	-	     391	     846	 98.72 	LEO/S
S27663	2003-005A	GPS IIR-8	2003 Jan 29 1806:00	US	AFSMC	US	US	    2032.000 	D	NAV	-	   20155	   20344	 55.06 	MEO
S27691	2003-008A	DSCS III A-3	2003 Mar 11 0059:00	US	AFSMC/DISA	US	US	    1244.000 	D	COM*	-	   35780	   35800	  1.00 	GEO/S
S27704	2003-010A	GPS IIR-9	2003 Mar 31 2209:01	US	AFSMC	US	US	    2032.000 	D	NAV	-	   20063	   20433	 54.96 	MEO
S27711	2003-012A	Milstar 6	2003 Apr  8 1343:00	US	AFSMC	US	US	    4500.000 	D	COM*	-	   35728	   35736	  4.45 	GEO/ID
S27718	2003-014A	Asiasat 4	2003 Apr 12 0047:01	US	ASIA	HK	CN	    4137.000 	B	COM	-	   35784	   35789	  0.01 	GEO/S
S27811	2003-020A	Hellas Sat 2	2003 May 13 2210:00	US	HELSA	GR	GR	    3250.000 	B	COM	-	   35486	   35784	  0.07 	GEO/D
S27816	2003-022A	Mars Express	2003 Jun  2 1745:26	F	ESA	I-ESA	I-ESA	    1152.000 	C	PLAN	E	     340	 -104357	 51.78 	EEO
S27825	2003-026A	Thuraya 2	2003 Jun 10 1355:59	US	THUR	UAE	UAE	    5177.000 	B	COM	-	   35747	   35822	  6.26 	GEO/I
S27831	2003-028B	Optus and Defense C1	2003 Jun 11 2238:15	F	OPTS	AU	AU	    4725.000 	B	COM	-	   35699	   35837	  0.08 	GEO/D
S27844	2003-031E	Cubesat-OSCAR-55	2003 Jun 30 1415:26	RU	TIT	J	J	       1.000 	A	TECH	-	     819	     831	 98.72 	LEO/S
S27848	2003-031J	Cubesat-OSCAR-57	2003 Jun 30 1415:26	RU	TOK	J	J	       1.000 	A	TECH	-	     822	     828	 98.73 	LEO/S
S27858	2003-036A	SCISAT-1	2003 Aug 13 0209:33	US	CSA	CA	CA	     150.000 	C	EOSCI	-	     641	     654	 73.94 	LEO/I
S27875	2003-040A	DSCS III B-6	2003 Aug 29 2313:00	US	AFSMC/DISA	US	US	    1244.000 	D	COM	-	   35600	   35800	  1.00 	GEO/D
S27937	2003-041A	USA 171	2003 Sep  9 0429:00	US	NROC	US	US	    5000.000 	D	SIG*	-	   35780	   35800	  2.00 	GEO/S
S27939	2003-042A	Mozhaets-4	2003 Sep 27 0611:44	RU	MOZHA	RU	RU	      64.000 	C	TECH	-	     676	     693	 98.20 	LEO/S
S27954	2003-044A	Galaxy 13	2003 Oct  1 0402:59	US	PAN	US	US	    4090.000 	B	COM	-	   35777	   35796	  0.01 	GEO/S
S28089	2003-053A	Yamal-202	2003 Nov 24 0622:00	RU	GAZC	RU	RU	    1351.000 	B	COM	-	   35780	   35790	  0.01 	GEO/S
S28117	2003-057A	UHF F/O F11	2003 Dec 18 0230	US	PMW146	US	US	    3205.000 	D	COM	-	   35780	   35800	  0.01 	GEO/S
S28158	2004-004A	DSP F22	2004 Feb 14 1850:00	US	AFSMC	US	US	    2361.000 	D	EW	-	   35852	   36105	  0.68 	GEO/D
S28184	2004-007A	MBSAT	2004 Mar 13 0540:01	US	MBCO/TUMED	J	[KR]*	    4143.000 	B	COM	-	   35743	   35833	  0.01 	GEO/S
S28187	2004-008A	Eutelsat W3A	2004 Mar 15 2306:00	RU	EUTSA	F	F	    4300.000 	B	COM	-	   35757	   35794	  0.02 	GEO/S
S28190	2004-009A	GPS IIR-11	2004 Mar 20 1753:00	US	AFSMC	US	US	    2032.000 	D	NAV	-	   20095	   20271	 55.03 	MEO
S28252	2004-017A	AMC 11	2004 May 19 2222:01	US	AMCS	US	US	    2315.000 	B	COM	-	   35784	   35788	  0.02 	GEO/S
S28358	2004-022A	INTELSAT 10-02	2004 Jun 16 2227:00	RU	INTELD	US	US*	    5575.000 	B	COM	-	   35803	   35813	  0.03 	GEO/D
S28371	2004-025F	SaudiSat-2	2004 Jun 29 0630:06	RU	KACST	SA	SA	      35.000 	C	TECH	Z	     696	     722	 98.27 	LEO/S
S28376	2004-026A	Aura	2004 Jul 15 1001:59	US	GSFC	US	US	    3112.000 	C	EOSCI	-	     673	     682	 98.22 	LEO/S
S28378	2004-027A	Anik F2	2004 Jul 18 0044	F	TCAN	CA	CA	    5965.000 	B	COM	-	   35785	   35786	  0.05 	GEO/S
S28380	2004-028A	Kosmos-2407	2004 Jul 22 1746:28	RU	VMFR	RU	RU	     820.000 	D	NAV	-	     951	    1006	 82.96 	LEO/I
S28384	2004-034A	USA 179	2004 Aug 31 2317:00	US	NROC	US	US	    3500.000 	D	COM	-	     300	   39800	 63.00 	HEO/M
S28446	2004-041A	AMC 15	2004 Oct 14 2123:00	RU	AMCS	US	US	    4021.000 	B	COM	-	   35737	   35750	  0.03 	GEO/D
S28474	2004-045A	GPS IIR-13	2004 Nov  6 0539:00	US	AFSMC	US	US	    2032.000 	D	NAV	-	   19936	   20427	 54.82 	MEO
S28485	2004-047A	Swift	2004 Nov 20 1716:01	US	GSFC	US	US	    1470.000 	C	AST	-	     584	     604	 20.56 	LLEO/E
S28521	2005-002A	Kosmos-2414	2005 Jan 20 0300:07	RU	VMFR	RU	RU	     820.000 	D	NAV	-	     909	     966	 82.95 	LEO/I
S28526	2005-003A	AMC 12	2005 Feb  3 0227:32	RU	AMCS	US	US	    4974.000 	B	COM	-	   35783	   35797	  0.07 	GEO/S
S28537	2005-004A	USA 181	2005 Feb  3 0741:01	US	NROC/USN	US	US	    1000.000 	D	SIG*	-	    1011	    1209	 63.42 	LEO/I
S28541	2005-004C	USA-181 P/L 2	2005 Feb  3 0741:01	US	NROC/USN	US	US	    1000.000 	D	SIG*	-	    1011	    1209	 63.42 	LEO/I
S28626	2005-008A	XM-3	2005 Mar  1 0350:59	US	XMR	US	US	    4682.000 	B	COM	-	   35785	   35788	  0.06 	GEO/S
S28628	2005-009A	INMARSAT 4 F1	2005 Mar 11 2142:00	US	INMRL	UK	UK	    5940.000 	B	COM	-	   35549	   35684	  2.92 	GEO/D
S28659	2005-019A	DirecTV 8	2005 May 22 1759:08	RU	DTV	US	US	    3711.000 	B	COM	-	   35776	   35796	  0.04 	GEO/S
S28702	2005-022A	Intelsat IA-8	2005 Jun 23 1403:00	US	INTELD	US	US*	    5493.000 	B	COM	-	   35784	   35786	  0.03 	GEO/S
S28786	2005-028A	Thaicom 4	2005 Aug 11 0820:44	F	SHIN	T	[T]	    6480.000 	B	COM	-	   35777	   35797	  0.04 	GEO/S
S28788	2005-029A	Mars Reconnaissance Orbiter	2005 Aug 12 1143:00	US	JPL	US	US	    2180.000 	C	PLAN	E	     205	  -61820	 40.72 	EEO
S28790	2005-030A	Galaxy 14	2005 Aug 13 2328:27	F	PAN	US	US	    2087.000 	B	COM	-	   35776	   35796	  0.02 	GEO/S
S28810	2005-031B	Reimei	2005 Aug 23 2109:59	RU	ISASJ	J	J	      70.000 	C	SCI	-	     602	     648	 97.83 	LEO/S
